home_team,home_goals,away_goals,away_team,wcm,dif_inter_match,dif_inter_match_lost,dif_wc_match,dif_wc_match_won,dif_wc_match_lost,dif_wc_match_tied,dif_wc_goals_con,status
Netherlands,0,1,England,0,-208.0,21.0,-19.0,-2.0,-8.0,-9.0,-16.0,3
France,2,0,Hungary,0,514.0,115.0,34.0,19.0,5.0,10.0,20.0,1
United States,1,5,Scotland,0,274.0,82.0,10.0,4.0,7.0,-1.0,21.0,3
Germany,2,1,Czechoslovakia,0,696.0,127.0,79.0,56.0,8.0,15.0,80.0,1
Belgium,2,2,Switzerland,0,-41.0,-78.0,11.0,8.0,2.0,1.0,8.0,2
United States,1,4,Scotland,0,274.0,82.0,10.0,4.0,7.0,-1.0,21.0,3
Sweden,3,1,Denmark,0,-439.0,-128.0,31.0,10.0,13.0,8.0,47.0,1
Denmark,1,0,Norway,0,533.0,127.0,12.0,7.0,3.0,2.0,18.0,1
Norway,1,1,Germany,0,-597.0,-39.0,-101.0,-65.0,-19.0,-17.0,-117.0,2
Sweden,3,1,Germany,0,-503.0,-40.0,-58.0,-48.0,-3.0,-7.0,-52.0,1
Uruguay,1,1,Argentina,0,-69.0,84.0,-25.0,-19.0,-3.0,-3.0,-19.0,2
Argentina,3,0,Uruguay,0,69.0,-84.0,25.0,19.0,3.0,3.0,19.0,1
Germany,6,0,Finland,0,638.0,35.0,109.0,67.0,22.0,20.0,125.0,1
Luxembourg,0,1,Germany,0,-716.0,-47.0,-109.0,-67.0,-22.0,-20.0,-125.0,3
Poland,2,3,Yugoslavia,0,652.0,198.0,-3.0,0.0,0.0,-3.0,-1.0,3
Germany,4,2,Romania,0,678.0,106.0,88.0,59.0,14.0,15.0,93.0,1
Germany,5,0,Estonia,0,793.0,120.0,109.0,67.0,22.0,20.0,125.0,1
Germany,1,0,Poland,0,60.0,-72.0,75.0,51.0,9.0,15.0,80.0,1
Poland,3,3,Latvia,0,755.0,206.0,34.0,16.0,13.0,5.0,45.0,2
Wales,1,1,Scotland,0,267.0,164.0,-18.0,-3.0,-11.0,-4.0,-37.0,2
Denmark,5,1,Finland,0,574.0,123.0,20.0,9.0,6.0,5.0,26.0,1
